date,code,action,price,shares,amount,fee
2023-06-15,002594,BUY,263.5,300,79050.0,20.55
2023-06-15,000333,BUY,57.26,1700,97342.0,25.31
2023-06-15,601857,BUY,7.53,13200,99396.0,25.84
2023-06-16,002594,BUY,273.86,100,27386.0,7.12
2023-06-16,000333,BUY,58.4,800,46720.0,12.15
2023-06-16,600276,BUY,46.8,2100,98280.0,25.55
2023-06-19,600276,BUY,47.5,1000,47500.0,12.36
2023-06-19,002594,BUY,271.08,100,27108.0,7.05
2023-06-19,601857,BUY,7.59,6600,50094.0,13.02
2023-06-26,600276,EXIT,46.28,3100,143468.0,109.03
2023-06-29,600900,BUY,22.48,4400,98912.0,25.72
2023-07-04,600276,BUY,47.3,2100,99330.0,25.82
2023-07-05,600276,BUY,48.85,900,43965.0,11.43
2023-07-06,600900,EXIT,22.07,4400,97108.0,73.8
2023-07-07,600276,BUY,48.0,100,4800.0,5.05
2023-07-11,000725,BUY,4.22,23500,99170.0,25.78
2023-07-12,000725,BUY,4.26,11600,49416.0,12.84
2023-07-14,000725,BUY,4.29,300,1287.0,5.01
2023-07-18,600276,EXIT,47.4,3100,146940.0,111.67
2023-07-20,000333,BUY,57.9,100,5790.0,5.06
2023-07-21,000725,BUY,4.23,100,423.0,5.0
2023-07-24,000725,BUY,4.19,100,419.0,5.0
2023-07-26,000725,BUY,4.21,100,421.0,5.0
2023-07-26,600276,BUY,47.77,2100,100317.0,26.08
2023-07-26,300750,BUY,225.12,400,90048.0,23.41
2023-07-26,601318,BUY,49.18,2000,98360.0,25.57
2023-07-27,300750,BUY,231.0,200,46200.0,12.01
2023-07-27,601318,BUY,49.59,1000,49590.0,12.9
2023-07-28,600276,BUY,47.88,500,23940.0,6.23
2023-08-01,600276,EXIT,44.31,2600,115206.0,87.55
2023-08-01,000858,BUY,181.69,500,90845.0,23.62
2023-08-01,600030,BUY,23.9,1000,23900.0,6.22
2023-08-03,601857,EXIT,7.55,19800,149490.0,113.61
2023-08-03,600030,BUY,24.46,2000,48920.0,12.72
2023-08-03,603259,BUY,73.7,1300,95810.0,24.91
2023-08-04,600030,BUY,25.0,200,5000.0,5.05
2023-08-11,002594,EXIT,262.69,500,131345.0,99.82
2023-08-11,000333,EXIT,56.29,2600,146354.0,111.23
2023-08-11,600030,BUY,24.98,1900,47462.0,12.34
2023-08-11,603259,BUY,78.89,500,39445.0,10.25
2023-08-11,600036,BUY,34.16,2900,99064.0,25.76
2023-08-11,600585,BUY,25.94,3500,90790.0,23.61
2023-08-11,000001,BUY,12.17,100,1217.0,5.01
2023-08-14,000725,EXIT,3.93,35700,140301.0,106.63
2023-08-14,600030,BUY,23.5,900,21150.0,5.5
2023-08-15,601318,EXIT,48.52,3000,145560.0,110.63
2023-08-15,600036,EXIT,32.46,2900,94134.0,71.54
2023-08-15,000001,EXIT,11.69,100,1169.0,5.59
2023-08-16,000858,STOP_LOSS,166.28,500,83140.0,63.19
2023-08-23,600585,BUY,26.09,1800,46962.0,12.21
2023-08-29,600585,BUY,26.31,100,2631.0,5.03
2023-08-31,600585,BUY,25.95,100,2595.0,5.03
2023-09-04,601318,BUY,50.45,1800,90810.0,23.61
2023-09-05,601318,BUY,51.2,900,46080.0,11.98
2023-09-06,600030,STOP_LOSS,22.24,6000,133440.0,101.41
2023-09-06,601318,BUY,50.0,100,5000.0,5.05
2023-09-07,601857,BUY,8.06,11700,94302.0,24.52
2023-09-08,300750,EXIT,225.0,600,135000.0,102.6
2023-09-08,601857,BUY,8.21,5400,44334.0,11.52
2023-09-11,601857,BUY,8.09,300,2427.0,5.02
2023-09-15,600900,BUY,22.69,4100,93029.0,24.19
2023-09-18,600900,BUY,22.46,2100,47166.0,12.26
2023-09-19,600900,BUY,22.38,100,2238.0,5.02
2023-09-25,601857,BUY,8.13,100,813.0,5.01
2023-09-25,600036,BUY,33.28,2800,93184.0,24.23
2023-09-25,600030,BUY,22.48,4200,94416.0,24.54
2023-09-25,000333,BUY,56.89,700,39823.0,10.36
2023-09-26,600030,EXIT,21.87,4200,91854.0,69.81
2023-09-26,000333,EXIT,56.76,700,39732.0,30.2
2023-09-26,600036,BUY,32.93,1400,46102.0,11.99
2023-10-11,600585,EXIT,25.1,5500,138050.0,104.92
2023-10-11,601318,EXIT,47.85,2800,133980.0,101.82
2023-10-11,600036,EXIT,32.84,4200,137928.0,104.82
2023-10-11,600276,BUY,44.7,2000,89400.0,23.24
2023-10-12,600276,BUY,45.6,1000,45600.0,11.86
2023-10-13,603259,TAKE_PROFIT,88.6,900,79740.0,60.6
2023-10-13,601857,EXIT,7.61,17500,133175.0,101.21
2023-10-13,600276,BUY,44.58,100,4458.0,5.04
2023-10-16,603259,TAKE_PROFIT,90.4,400,36160.0,27.48
